,transcript_id,timestamp,text,speaker
0,105,02:23,"Hey, , , you are on mute if you are talking.",unknown
1,105,02:32,Hello.,unknown
2,105,02:33,"Yeah, hi.",unknown
3,105,02:34,Hello.,unknown
4,105,02:35,"Yeah, .",unknown
5,105,02:36,"So, yeah, so we had a fair level first, you know, first level discussion in WhatsApp where you said you just starting your prep and want to take in the month of July.",agent
6,105,02:47,Yeah.,prospect
7,105,02:48,"So, so a couple of things I would like to ask is you are currently working Apna?",agent
8,105,02:53,"Yeah, I am currently working.",prospect
9,105,02:54,I have an experience of around 6 years.,prospect
10,105,02:58,"OK, OK, that's good.",agent
11,105,02:59,that's good.,agent
12,105,03:00,"And so, so I just want to understand you are looking for the round one application if I am not round one application for this year, right?",agent
13,105,03:11,"Yeah, round one application.",prospect
14,105,03:12,what's your target schools?,agent
15,105,03:14,My target schools are ISPI am also exploring the IIM.,prospect
16,105,03:20,"I am BGP, PGPX and also NCI at Singapore.",prospect
17,105,03:26,"OK, so majorly India is specific and then yeah, NCR is one option for you.",agent
18,105,03:32,Mostly I am going towards India.,prospect
19,105,03:35,"OK, understood.",agent
20,105,03:37,So even even say ISV offers up to 100% scholarship and wrong applications for the great team as go.,agent
21,105,03:44,"So you know, you have that, you know, right now at least you're not in the month of say April of May, You are at least the month of February so that you would have Apple Railway to actually, you know, prepare and get it started.",agent
22,105,03:58,"So before this, have you taken any test or no, just coming out of group.",agent
23,105,04:04,I haven't taken any test.,prospect
24,105,04:06,I gave cat when I was in college like back in 2018 and gotten percentile of 77 if I remember.,prospect
25,105,04:16,OK alright so so in this call I assume that you updated Naive 2 even you know you have done a basic research about eating right?,agent
26,105,04:27,But still I would like to give you an overview.,agent
27,105,04:30,"So, you know, before I give a complete understanding, I, I would be sharing you 2 short videos, very short videos which you have to watch to understand at a surface level in a very concentrated way that because it is in a very short video comprising of a lot of things.",agent
28,105,04:49,And when I after that you would have some questions invoked in you.,agent
29,105,04:53,"And when I explain you things, then it will be a bit more clearer rather than I am just maybe just directly started.",agent
30,105,04:59,"So I will send you that right now in that in the chat box, just, you know, check that out.",agent
31,105,05:08,I am just mentioning as video one and video 2 for that order.,agent
32,105,05:14,So I have send a video one.,agent
33,105,05:17,The video one is regarding the course overview and video 2 is regarding the mental support.,agent
34,105,05:22,We have a dedicated mental support for our program.,agent
35,105,05:25,So how how does this work?,agent
36,105,05:27,"You would have some questions once you finish it, but of course I am there to you know, help you with that.",agent
37,105,05:31,So yeah.,agent
38,105,05:33,So these are the 2 videos which you can watch right now.,agent
39,105,05:38,We will be on mute.,agent
40,105,05:38,I will be waiting for you.,agent
41,105,05:40,So once you are done just unmute and say hi.,agent
42,105,05:42,I will.,prospect
43,105,05:43,I will.,agent
44,105,05:43,We will discuss at that point.,agent
45,105,05:46,"OK, Yeah, I will watch and I will let you know.",prospect
46,105,05:50,"Sure, sure.",agent
47,105,05:50,I will be here.,agent
48,105,05:51,Yeah.,agent
49,105,19:41,"Hi, Amrit.",unknown
50,105,19:46,Hello.,unknown
51,105,19:47,"Yeah, Yeah, I went to these videos.",prospect
52,105,19:50,Yeah.,prospect
53,105,19:51,So I hope that would have given you a fair understanding of how we are going to approach the GMAT as a whole.,agent
54,105,19:57,And yeah.,agent
55,105,19:58,So what do you feel?,agent
56,105,19:59,"So you know, what is it that you have got from the video, Kavina?",agent
57,105,20:04,"Yeah, I understood like the complete walkthrough of what things are there, How?",prospect
58,105,20:09,Right.,prospect
59,105,20:10,"I can have a look at the videos, classes, the Marks and how the mentor will help me and give me the like the agenda, right?",prospect
60,105,20:18,Both of the things I need to focus on.,prospect
61,105,20:21,"Correct, correct.",agent
62,105,20:22,"And also as you progress your journey, you are going to leave a trail of data footprints which is being utilised for, you know for for your last leg of your breath.",agent
63,105,20:33,"Yeah, that is see the mentorship program you have already seen in that video you know majorly through emails and chats and that is only till phase one.",agent
64,105,20:42,So the complete mentorship for the complete prep is divided to 2 phases.,agent
65,105,20:46,"Phase one is still you reach a particular level of around 8080 to 80 percentile, around 6.5625 is when you would have phase one and then Phase 2.",agent
66,105,20:56,"So what happens in phase one is once you hit that particular 80 to 85 percentile, what as an output, what what can we expect is you would by then know how to solve all questions because GMAT unlike CAT or other tests where you know you have to have the very depth of understanding.",agent
67,105,21:12,Here the depth is from the focus.,agent
68,105,21:13,"Here the technique is the focus because the depth is very shallow, right.",agent
69,105,21:16,There are very limited types of questions that can ever come in your GMAT.,agent
70,105,21:20,"And once you identify those types and you know work on it, there is nothing new that you are going to see for your first time in your test.",agent
71,105,21:27,But all that matters is having that high optimised efficiency.,agent
72,105,21:31,So the first objective ways to make sure that you know how to solve all questions may be not.,agent
73,105,21:36,"If not, see the average time that you would require or you would get for solving questions in G matrix around 2 minutes.",agent
74,105,21:43,"For verbal, you have 23 questions for 45 minutes, just about 2 minutes.",agent
75,105,21:47,"Quants 21 minutes, you know just below 2 minutes.",agent
76,105,21:50,"And for quants 21 questions for 45 minutes, just below 2 minutes.",agent
77,105,21:54,"And data insights, again 20 questions for 45 minutes, just below 2 minutes.",agent
78,105,21:58,So on an average if you just see it is all you know close to 2 minutes of time is what you would have for your test the reason of your question.,agent
79,105,22:06,"So even if you take 33 and a half minutes on an average or 3 minutes on an average, its OK if you are getting the right answer in the phase one.",agent
80,105,22:14,So that is the objective.,agent
81,105,22:15,"There are 64 questions, at least 63 to 64 questions or at least in the worst case 62 questions you should be able to solve in that you know relax time environment and till then you would have your mental support majorly via you know.",agent
82,105,22:30,I will share my screen also for for you to have an understanding if I if I take say a critical tracing or any of the sections.,agent
83,105,22:39,"Yeah, this is the chat window.",agent
84,105,22:41,"You know that that they are going to have where you know whenever you ping your mentor, you are going to get a pop up.",agent
85,105,22:47,They are going to get a pop up and they ping you.,agent
86,105,22:48,"You are going to get a pop up and whenever it is not just in chat, you are also going to get a mail of it.",agent
87,105,22:54,So you know you are going to get the communication recorded in your mail by default.,agent
88,105,22:59,So that is going to be there and you know chat does not necessarily mean typing.,agent
89,105,23:03,It could be the loop videos which which you know you have just watched our loop videos.,agent
90,105,23:07,So it would not take much time for your mentor to create a short loop video to explain you rather than just typing and creating a confusion.,agent
91,105,23:14,"So you know, generally we prefer that and if it is something pretty straightforward, we will just type and send it to you as well.",agent
92,105,23:20,"So that is how it is going to be in phase one and once you enter Phase 2 that is once you reach a capability to solve all questions that comes in front of you, you require a dedicated you know, you know structure or a strategy to now get all the questions in under less than 2 minutes.",agent
93,105,23:39,And how does it happen?,agent
94,105,23:40,It happens through our flagship program called the Last Mile Push.,agent
95,105,23:43,"So you know when we say it is a program, it is a different program.",agent
96,105,23:46,You know don't get into the things that it is going to be additional charge.,agent
97,105,23:50,"It is inclusive within the course because what we believe is nobody enrolls in a course for you know, getting a 615 rates everyone gets in a course, you know gets gets a course for getting a high score.",agent
98,105,24:01:00,So we don't charge anything extra for it.,agent
99,105,24:04:00,"But the idea is once you start or you know, the idea is the first objective that you need to get is to hit that particular personnel to be eligible for this.",agent
100,105,24:16:00,"And all all the students that you would see if you have follow, if you have been following us on YouTube, you would have seen that we are actually having the highest number of success rate compared to almost the top global platforms you went towards from the second test.",agent
101,105,24:30:00,"And, and everybody that you would see in our YouTube channel.",agent
102,105,24:33:00,"I will I will just quickly show you as well that you know, the you know, they have gone through the last minute push program where you would have one on one session with your mentors.",agent
103,105,24:41:00,"Beyond that, once you are once you enter the last minute push program, it will not be chat or meal, but it will be one on one session that you would have a with your mentor where the complete agenda is for fine tuning and time management.",agent
104,105,24:52:00,That will be the only focus in the last minute push program.,agent
105,105,24:55:00,"So, so some students directly enrolled for last week which program also who already have given their actual test.",agent
106,105,25:02:00,"And this is one of the students who got a 625 in an actual test and you know, joined us.",agent
107,105,25:09:00,"She gave, she had she was running on deadline, had only around 17 days and had another test.",agent
108,105,25:15:00,She joined us for 15 days and and got to a 695 score.,agent
109,105,25:21:00,"So, you know, we have a lot of scenarios and we have students who get 725 just you just need to do only one thing.",agent
110,105,25:28:00,"If you are looking for a 700 plus, see just to give you a context, you know the median of the median score for ISB is 655.",agent
111,105,25:35:00,"For I, I, Ms is also around 655.",agent
112,105,25:38:00,And for NCR the median score is around 675685.,agent
113,105,25:42:00,"You need to score, you need to plan at least 2030 points on top of the median score to get an interview call.",agent
114,105,25:49:00,"And for ISB, if you are targeting a 715 or like A908909 percentile, you can get up to 100% scholarships also.",agent
115,105,25:56:00,So that should be a focus provided the time frame that you have got right.,agent
116,105,26:01:00,So we have a lot of such examples.,agent
117,105,26:03:00,We would find a lot of students who are getting A908909 percentile on a monthly basis.,agent
118,105,26:08:00,You would find plenty.,agent
119,105,26:10:00,So you know that is one thing.,agent
120,105,26:11:00,"And regarding GMAT Club, which is the world's largest community of all the GMAT aspirin sectors of globe, you would find, you know, we having the highest number of reviews, verified reviews for getting posted 2.8 K.",agent
121,105,26:26:00,The second best is TDP.,agent
122,105,26:27:00,You would find it is almost half.,agent
123,105,26:30:00,And then you would find the average rating is 4.7 out of 5.,agent
124,105,26:33:00,And almost everyone would be talking about how the last mail push program has been helpful and how the journey has been helpful throughout their prep and all these things.,agent
125,105,26:42:00,So just you also give you a context.,agent
126,105,26:44:00,"I would like to show you one of the students, you know, who came back to prep after a really long time.",agent
127,105,26:54:00,So let me just open it up to somewhere here.,agent
128,105,26:59:00,So he came back after 20 years of work eggs.,agent
129,105,27:03:00,"You know, when when someone comes back after 20 years of work eggs, you know, you would pretty much be, you know, you pretty much understand that, you know, they, they are practically starting from that Ground Zero.",agent
130,105,27:14:00,"So this is one of the students who came back to prep after, you know, around 19 years of work case after 20 years that he came back to academics and got to a score of 685.",agent
131,105,27:27:00,"And there are other examples as well who have done that, who has done that in their journey.",agent
132,105,27:32:00,"So, so most people will talk about how the Olympic program has been successful where, you know, like the way I said, no extra cost provided you are already at a good level that is around 80th percentile level.",agent
133,105,27:42:00,"So to boost a peer score and this is also another student who came after 20 years of work eggs, you know, so when these people can do anybody can do that, that is the idea.",agent
134,105,27:55:00,"So you know, when someone gets 20 plus years of experience can come in and you know, crack it and get A6856959798 percentile, you know, we we can do because it is it is a standard process that has to follow.",agent
135,105,28:09:00,We cover from the fundamentals.,agent
136,105,28:10:00,"But of course, even if you look at quants, let us assume that if it is quants, maybe there is a fact that you know, you may not know.",agent
137,105,28:19:00,"Say let us assume that 60% of things, so 70% of the things you do not know, at least 3030% of the things you might remember it, you might know.",agent
138,105,28:25:00,"So what we have in the quantity is something called personalised adaptive course engine, we call it PACE.",agent
139,105,28:30:00,"What it does is within each of the modules, you would have a diagnostic quiz.",agent
140,105,28:34:00,"Based on how you perform in the diagnostic quiz, we capture multiple data, your average correct time, incorrect time, accuracy, time pressure management, all these things and then recommend you to take only those particular files where you are going to have a definitive learning.",agent
141,105,28:47:00,And we are going to recommend you to skip the files which you have already mastered or you are already a master it.,agent
142,105,28:53:00,So by that way you are not spending.,agent
143,105,28:55:00,Suppose here you got 100 percentage recommended none here you got 100 percentage but still recommended to the files because maybe you know how to solve the question.,agent
144,105,29:03:00,"But if you attend these 2 files, you are going to have a better technique which will help you in your you know technique aspect.",agent
145,105,29:10:00,"Decimals 100 percentage recommended 4 of the 8 files because of course you know how to solve questions, but you have a better technique.",agent
146,105,29:16:00,But does it does not mean that you cannot take all those.,agent
147,105,29:19:00,You can just turn off face and still do it.,agent
148,105,29:21:00,"You have the complete control, but face will give you that recommendation to skip.",agent
149,105,29:24:00,"You can see here right Apart from that, you would have already seen the journey view where the complete prep bibit bubble quant or DI.",agent
150,105,29:34:00,"You would have this journey view where you would see how well you are doing compared to your peers across the global population, how well you are doing with respect to them for each other particular file.",agent
151,105,29:45:00,If you're doing better than then we get a grade A.,agent
152,105,29:46:00,"If you're doing at par with them, we get a grade B.",agent
153,105,29:48:00,"And if you're doing below the bench, you get a grade C.",agent
154,105,29:51:00,"And for each of the grade should have a definitive set of actions to do, which your mentor would define you very clearly before you start or initiate.",agent
155,105,29:57:00,So you know that is fun thing.,agent
156,105,29:59:00,"So it's a demand is a competitive test, right?",agent
157,105,30:01:00,So it's better to keep that competitive spirit as we learn to have a clear understanding of how well we are going in terms of the plan that we are doing.,agent
158,105,30:09:00,"And this test that you are are you know the journey, view the greats and all these things are not based on what you have, what you had, you know what you have learned outside, its majorly based on what you have learned from our platform.",agent
159,105,30:22:00,So you are being tested in those quizzes towards the end on what we teach in that particular file.,agent
160,105,30:27:00,"Suppose if you are teaching you on a very simple, very basic terms, if you are teaching you 3 + 5 equal to 8, they are just gonna check 5 + 7.",agent
161,105,30:35:00,"Are you able to get it as you know 12 That is the objective that we are going to, you know, look at and if you are getting it going to the right track and how, how fast should we calculate that just to give you a analogy.",agent
162,105,30:47:00,So that that is one thing.,agent
163,105,30:49:00,And the second thing is the study planner you have already seen we will be creating a study planner which should be flexible.,agent
164,105,30:54:00,"Suppose when you the particular day you it is, it is 2 hours that you have committed but you could do only one hour you are going to mark it as you know one hour and accordingly a calendar will exist itself or maybe you committed to us cannot study at all.",agent
165,105,31:07:00,You are going to mark it as a no study day.,agent
166,105,31:08:00,But let us assume that they turned out to be holiday.,agent
167,105,31:11:00,You could keep say 5 hours you are going to move as 5 hours according to your calendar legs.,agent
168,105,31:17:00,"So you know, so as you start you would have a customised study plan and it is it is very unique for a particular study.",agent
169,105,31:23:00,It is like a fingerprint because to a great extent this is a skeleton.,agent
170,105,31:27:00,"We would say this is skeleton, the flesh and the skin would be a mentor would be building on top of the skeleton based on what you need.",agent
171,105,31:34:00,"So that is the that is a, you know, custom approach that you would take towards the test.",agent
172,105,31:38:00,"And yeah, then we have multi stage learning since Ch 2, you would go.",agent
173,105,31:45:00,"And so so the data that we would be capturing here is if you just go to the skill data would find if it is CR within CR for each of the particular topics, there are 9 topics for each of the particular topics.",agent
174,105,31:55:00,How is your accuracy?,agent
175,105,31:57:00,"How is your average correct time, incorrect time, block level analysis?",agent
176,105,32:00:00,"Then if it is RC, then what are the different topics that challenges you or you know troubles you?",agent
177,105,32:05:00,"Then if you look at you know, quants within quants properties, word problems, advanced topics is your arithmetic, you are still bifurcated.",agent
178,105,32:13:00,So how well you are doing in these particular types of files and all the things and the same goes to data inside as well.,agent
179,105,32:18:00,We have a dedicated DI course.,agent
180,105,32:20:00,"If you just see like quant and verbal, we have a dedicated DI course which should cover the whole aspect where we teach you from the fundamentals.",agent
181,105,32:27:00,"If you take graphic interpretation, table analysis, you would learn from the fundamentals.",agent
182,105,32:30:00,So you know it is a dedicated full length course.,agent
